2022-09-15 11:09:906 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-15 11:09:549 INFO  HomePage :25 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (cd2851942c9bf186eeed45bf958a78d5)] -> link text: Log in]
2022-09-15 11:09:632 INFO  LoginPage :25 - Getting text from : [[ChromeDriver: chrome on WINDOWS (cd2851942c9bf186eeed45bf958a78d5)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-09-15 11:09:786 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-15 11:09:747 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-15 11:09:492 INFO  HomePage :25 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4252e6f812edfb23a4497de4696634ab)] -> link text: Log in]
2022-09-15 11:09:527 INFO  LoginPage :25 - Getting text from : [[ChromeDriver: chrome on WINDOWS (4252e6f812edfb23a4497de4696634ab)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-09-15 12:09:76 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-15 12:09:961 INFO  HomePage :25 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (da46696084fe57109dd119138d21f6c3)] -> link text: Log in]
2022-09-15 12:09:104 INFO  LoginPage :37 - Getting text from : [[ChromeDriver: chrome on WINDOWS (da46696084fe57109dd119138d21f6c3)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-09-15 12:09:686 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-15 12:09:277 INFO  HomePage :25 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (56cc0c39b6252ba4e483f192f43c3d35)] -> link text: Log in]
2022-09-15 12:09:168 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-15 12:09:133 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-15 12:09:785 INFO  HomePage :25 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (de6eb593362b0df1560d4d9d6bca14d6)] -> link text: Log in]
2022-09-15 12:09:951 INFO  LoginPage :37 - Getting text from : [[ChromeDriver: chrome on WINDOWS (de6eb593362b0df1560d4d9d6bca14d6)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-09-15 12:09:194 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-15 12:09:230 INFO  HomePage :25 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (98dd8b21dfa9a45928fc6aac974715d9)] -> link text: Log in]
2022-09-15 12:09:846 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-15 12:09:719 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-15 12:09:798 INFO  HomePage :30 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f728e2441beaaedb3bc987264135c2b5)] -> link text: Log in]
